"official_district";"district";"gender";"nationality";"age";"quantity"
"Mitte";"Mitte";"m";"A";"00_05";"182"
"Mitte";"Mitte";"m";"A";"05_10";"137"
"Mitte";"Mitte";"m";"A";"10_15";"157"
"Mitte";"Mitte";"m";"A";"15_20";"190"
"Mitte";"Mitte";"m";"A";"20_25";"674"
"Mitte";"Mitte";"m";"A";"25_30";"1298"
"Mitte";"Mitte";"m";"A";"30_35";"1347"
"Mitte";"Mitte";"m";"A";"35_40";"1102"
"Mitte";"Mitte";"m";"A";"40_45";"863"
"Mitte";"Mitte";"m";"A";"45_50";"637"
"Mitte";"Mitte";"m";"A";"50_55";"405"
"Mitte";"Mitte";"m";"A";"55_60";"260"
"Mitte";"Mitte";"m";"A";"60_65";"164"
"Mitte";"Mitte";"m";"A";"65_70";"124"
"Mitte";"Mitte";"m";"A";"70_75";"66"
"Mitte";"Mitte";"m";"A";"75_80";"56"
"Mitte";"Mitte";"m";"A";"80_85";"28"
"Mitte";"Mitte";"m";"A";"85_90";"12"
"Mitte";"Mitte";"m";"D";"00_05";"1892"
"Mitte";"Mitte";"m";"D";"05_10";"1292"
"Mitte";"Mitte";"m";"D";"10_15";"889"
"Mitte";"Mitte";"m";"D";"15_20";"718"
"Mitte";"Mitte";"m";"D";"20_25";"1724"
"Mitte";"Mitte";"m";"D";"25_30";"2801"
"Mitte";"Mitte";"m";"D";"30_35";"3451"
"Mitte";"Mitte";"m";"D";"35_40";"3338"
"Mitte";"Mitte";"m";"D";"40_45";"3580"
"Mitte";"Mitte";"m";"D";"45_50";"3178"
"Mitte";"Mitte";"m";"D";"50_55";"2158"
"Mitte";"Mitte";"m";"D";"55_60";"1734"
"Mitte";"Mitte";"m";"D";"60_65";"1410"
"Mitte";"Mitte";"m";"D";"65_70";"1268"
"Mitte";"Mitte";"m";"D";"70_75";"1617"
"Mitte";"Mitte";"m";"D";"75_80";"1173"
"Mitte";"Mitte";"m";"D";"80_85";"696"
"Mitte";"Mitte";"m";"D";"85_90";"226"
"Mitte";"Mitte";"m";"D";"90_95";"45"
"Mitte";"Mitte";"m";"D";"95 und älter";"9"
"Mitte";"Mitte";"f";"A";"00_05";"181"
"Mitte";"Mitte";"f";"A";"05_10";"147"
"Mitte";"Mitte";"f";"A";"10_15";"154"
"Mitte";"Mitte";"f";"A";"15_20";"226"
"Mitte";"Mitte";"f";"A";"20_25";"949"
"Mitte";"Mitte";"f";"A";"25_30";"1538"
"Mitte";"Mitte";"f";"A";"30_35";"1364"
"Mitte";"Mitte";"f";"A";"35_40";"998"
"Mitte";"Mitte";"f";"A";"40_45";"729"
"Mitte";"Mitte";"f";"A";"45_50";"450"
"Mitte";"Mitte";"f";"A";"50_55";"271"
"Mitte";"Mitte";"f";"A";"55_60";"266"
"Mitte";"Mitte";"f";"A";"60_65";"153"
"Mitte";"Mitte";"f";"A";"65_70";"95"
"Mitte";"Mitte";"f";"A";"70_75";"76"
"Mitte";"Mitte";"f";"A";"75_80";"28"
"Mitte";"Mitte";"f";"A";"80_85";"22"
"Mitte";"Mitte";"f";"A";"85_90";"9"
"Mitte";"Mitte";"f";"D";"00_05";"1825"
"Mitte";"Mitte";"f";"D";"05_10";"1245"
"Mitte";"Mitte";"f";"D";"10_15";"866"
"Mitte";"Mitte";"f";"D";"15_20";"709"
"Mitte";"Mitte";"f";"D";"20_25";"1683"
"Mitte";"Mitte";"f";"D";"25_30";"2924"
"Mitte";"Mitte";"f";"D";"30_35";"3312"
"Mitte";"Mitte";"f";"D";"35_40";"2747"
"Mitte";"Mitte";"f";"D";"40_45";"2725"
"Mitte";"Mitte";"f";"D";"45_50";"2483"
"Mitte";"Mitte";"f";"D";"50_55";"1943"
"Mitte";"Mitte";"f";"D";"55_60";"1771"
"Mitte";"Mitte";"f";"D";"60_65";"1399"
"Mitte";"Mitte";"f";"D";"65_70";"1616"
"Mitte";"Mitte";"f";"D";"70_75";"2135"
"Mitte";"Mitte";"f";"D";"75_80";"1525"
"Mitte";"Mitte";"f";"D";"80_85";"960"
"Mitte";"Mitte";"f";"D";"85_90";"528"
"Mitte";"Mitte";"f";"D";"90_95";"194"
"Mitte";"Mitte";"f";"D";"95 und älter";"58"
"Mitte";"Moabit";"m";"A";"00_05";"238"
"Mitte";"Moabit";"m";"A";"05_10";"194"
"Mitte";"Moabit";"m";"A";"10_15";"290"
"Mitte";"Moabit";"m";"A";"15_20";"424"
"Mitte";"Moabit";"m";"A";"20_25";"869"
"Mitte";"Moabit";"m";"A";"25_30";"1153"
"Mitte";"Moabit";"m";"A";"30_35";"1194"
"Mitte";"Moabit";"m";"A";"35_40";"1116"
"Mitte";"Moabit";"m";"A";"40_45";"951"
"Mitte";"Moabit";"m";"A";"45_50";"854"
"Mitte";"Moabit";"m";"A";"50_55";"612"
"Mitte";"Moabit";"m";"A";"55_60";"424"
"Mitte";"Moabit";"m";"A";"60_65";"402"
"Mitte";"Moabit";"m";"A";"65_70";"329"
"Mitte";"Moabit";"m";"A";"70_75";"269"
"Mitte";"Moabit";"m";"A";"75_80";"118"
"Mitte";"Moabit";"m";"A";"80_85";"39"
"Mitte";"Moabit";"m";"A";"85_90";"12"
"Mitte";"Moabit";"m";"A";"90_95";"3"
"Mitte";"Moabit";"m";"A";"95 und älter";"6"
"Mitte";"Moabit";"m";"D";"00_05";"1503"
"Mitte";"Moabit";"m";"D";"05_10";"1245"
"Mitte";"Moabit";"m";"D";"10_15";"1069"
"Mitte";"Moabit";"m";"D";"15_20";"1049"
"Mitte";"Moabit";"m";"D";"20_25";"2365"
"Mitte";"Moabit";"m";"D";"25_30";"3002"
"Mitte";"Moabit";"m";"D";"30_35";"2370"
"Mitte";"Moabit";"m";"D";"35_40";"1759"
"Mitte";"Moabit";"m";"D";"40_45";"2007"
"Mitte";"Moabit";"m";"D";"45_50";"2446"
"Mitte";"Moabit";"m";"D";"50_55";"2022"
"Mitte";"Moabit";"m";"D";"55_60";"1686"
"Mitte";"Moabit";"m";"D";"60_65";"1450"
"Mitte";"Moabit";"m";"D";"65_70";"1090"
"Mitte";"Moabit";"m";"D";"70_75";"1050"
"Mitte";"Moabit";"m";"D";"75_80";"571"
"Mitte";"Moabit";"m";"D";"80_85";"297"
"Mitte";"Moabit";"m";"D";"85_90";"106"
"Mitte";"Moabit";"m";"D";"90_95";"41"
"Mitte";"Moabit";"m";"D";"95 und älter";"12"
"Mitte";"Moabit";"f";"A";"00_05";"174"
"Mitte";"Moabit";"f";"A";"05_10";"208"
"Mitte";"Moabit";"f";"A";"10_15";"297"
"Mitte";"Moabit";"f";"A";"15_20";"410"
"Mitte";"Moabit";"f";"A";"20_25";"852"
"Mitte";"Moabit";"f";"A";"25_30";"1143"
"Mitte";"Moabit";"f";"A";"30_35";"1015"
"Mitte";"Moabit";"f";"A";"35_40";"961"
"Mitte";"Moabit";"f";"A";"40_45";"741"
"Mitte";"Moabit";"f";"A";"45_50";"680"
"Mitte";"Moabit";"f";"A";"50_55";"508"
"Mitte";"Moabit";"f";"A";"55_60";"450"
"Mitte";"Moabit";"f";"A";"60_65";"510"
"Mitte";"Moabit";"f";"A";"65_70";"320"
"Mitte";"Moabit";"f";"A";"70_75";"221"
"Mitte";"Moabit";"f";"A";"75_80";"116"
"Mitte";"Moabit";"f";"A";"80_85";"42"
"Mitte";"Moabit";"f";"A";"85_90";"18"
"Mitte";"Moabit";"f";"A";"90_95";"6"
"Mitte";"Moabit";"f";"D";"00_05";"1486"
"Mitte";"Moabit";"f";"D";"05_10";"1203"
"Mitte";"Moabit";"f";"D";"10_15";"1078"
"Mitte";"Moabit";"f";"D";"15_20";"1021"
"Mitte";"Moabit";"f";"D";"20_25";"2664"
"Mitte";"Moabit";"f";"D";"25_30";"2731"
"Mitte";"Moabit";"f";"D";"30_35";"2058"
"Mitte";"Moabit";"f";"D";"35_40";"1382"
"Mitte";"Moabit";"f";"D";"40_45";"1620"
"Mitte";"Moabit";"f";"D";"45_50";"1906"
"Mitte";"Moabit";"f";"D";"50_55";"1731"
"Mitte";"Moabit";"f";"D";"55_60";"1477"
"Mitte";"Moabit";"f";"D";"60_65";"1271"
"Mitte";"Moabit";"f";"D";"65_70";"943"
"Mitte";"Moabit";"f";"D";"70_75";"1130"
"Mitte";"Moabit";"f";"D";"75_80";"758"
"Mitte";"Moabit";"f";"D";"80_85";"569"
"Mitte";"Moabit";"f";"D";"85_90";"355"
"Mitte";"Moabit";"f";"D";"90_95";"175"
"Mitte";"Moabit";"f";"D";"95 und älter";"44"
"Mitte";"Hansaviertel";"m";"A";"00_05";"9"
"Mitte";"Hansaviertel";"m";"A";"05_10";"6"
"Mitte";"Hansaviertel";"m";"A";"10_15";"12"
"Mitte";"Hansaviertel";"m";"A";"15_20";"29"
"Mitte";"Hansaviertel";"m";"A";"20_25";"166"
"Mitte";"Hansaviertel";"m";"A";"25_30";"252"
"Mitte";"Hansaviertel";"m";"A";"30_35";"119"
"Mitte";"Hansaviertel";"m";"A";"35_40";"59"
"Mitte";"Hansaviertel";"m";"A";"40_45";"38"
"Mitte";"Hansaviertel";"m";"A";"45_50";"48"
"Mitte";"Hansaviertel";"m";"A";"50_55";"42"
"Mitte";"Hansaviertel";"m";"A";"55_60";"16"
"Mitte";"Hansaviertel";"m";"A";"60_65";"15"
"Mitte";"Hansaviertel";"m";"A";"65_70";"9"
"Mitte";"Hansaviertel";"m";"A";"70_75";"10"
"Mitte";"Hansaviertel";"m";"A";"75_80";"15"
"Mitte";"Hansaviertel";"m";"A";"80_85";"3"
"Mitte";"Hansaviertel";"m";"D";"00_05";"74"
"Mitte";"Hansaviertel";"m";"D";"05_10";"77"
"Mitte";"Hansaviertel";"m";"D";"10_15";"77"
"Mitte";"Hansaviertel";"m";"D";"15_20";"62"
"Mitte";"Hansaviertel";"m";"D";"20_25";"132"
"Mitte";"Hansaviertel";"m";"D";"25_30";"119"
"Mitte";"Hansaviertel";"m";"D";"30_35";"129"
"Mitte";"Hansaviertel";"m";"D";"35_40";"78"
"Mitte";"Hansaviertel";"m";"D";"40_45";"167"
"Mitte";"Hansaviertel";"m";"D";"45_50";"194"
"Mitte";"Hansaviertel";"m";"D";"50_55";"155"
"Mitte";"Hansaviertel";"m";"D";"55_60";"138"
"Mitte";"Hansaviertel";"m";"D";"60_65";"146"
"Mitte";"Hansaviertel";"m";"D";"65_70";"181"
"Mitte";"Hansaviertel";"m";"D";"70_75";"149"
"Mitte";"Hansaviertel";"m";"D";"75_80";"84"
"Mitte";"Hansaviertel";"m";"D";"80_85";"55"
"Mitte";"Hansaviertel";"m";"D";"85_90";"18"
"Mitte";"Hansaviertel";"m";"D";"90_95";"12"
"Mitte";"Hansaviertel";"f";"A";"00_05";"3"
"Mitte";"Hansaviertel";"f";"A";"05_10";"3"
"Mitte";"Hansaviertel";"f";"A";"10_15";"10"
"Mitte";"Hansaviertel";"f";"A";"15_20";"9"
"Mitte";"Hansaviertel";"f";"A";"20_25";"175"
"Mitte";"Hansaviertel";"f";"A";"25_30";"153"
"Mitte";"Hansaviertel";"f";"A";"30_35";"90"
"Mitte";"Hansaviertel";"f";"A";"35_40";"48"
"Mitte";"Hansaviertel";"f";"A";"40_45";"46"
"Mitte";"Hansaviertel";"f";"A";"45_50";"27"
"Mitte";"Hansaviertel";"f";"A";"50_55";"31"
"Mitte";"Hansaviertel";"f";"A";"55_60";"24"
"Mitte";"Hansaviertel";"f";"A";"60_65";"21"
"Mitte";"Hansaviertel";"f";"A";"65_70";"21"
"Mitte";"Hansaviertel";"f";"A";"70_75";"9"
"Mitte";"Hansaviertel";"f";"A";"75_80";"18"
"Mitte";"Hansaviertel";"f";"A";"85_90";"6"
"Mitte";"Hansaviertel";"f";"D";"00_05";"60"
"Mitte";"Hansaviertel";"f";"D";"05_10";"63"
"Mitte";"Hansaviertel";"f";"D";"10_15";"64"
"Mitte";"Hansaviertel";"f";"D";"15_20";"67"
"Mitte";"Hansaviertel";"f";"D";"20_25";"96"
"Mitte";"Hansaviertel";"f";"D";"25_30";"105"
"Mitte";"Hansaviertel";"f";"D";"30_35";"100"
"Mitte";"Hansaviertel";"f";"D";"35_40";"94"
"Mitte";"Hansaviertel";"f";"D";"40_45";"137"
"Mitte";"Hansaviertel";"f";"D";"45_50";"137"
"Mitte";"Hansaviertel";"f";"D";"50_55";"113"
"Mitte";"Hansaviertel";"f";"D";"55_60";"166"
"Mitte";"Hansaviertel";"f";"D";"60_65";"170"
"Mitte";"Hansaviertel";"f";"D";"65_70";"167"
"Mitte";"Hansaviertel";"f";"D";"70_75";"157"
"Mitte";"Hansaviertel";"f";"D";"75_80";"136"
"Mitte";"Hansaviertel";"f";"D";"80_85";"112"
